rat_ensembl_gene_id	rat_gene_symbol	gene_type	mean_normal	mean_diabetic	log2FC	median_log2FC	hedges_g	welch_p	BH_FDR	tested	same_median_direction	large_effect_abs_log2FC_ge_0.5	direction	mouse_ensembl_gene_id	mouse_gene_symbol	orthology_type	orthology_confidence	ortholog_mapping_basis
ENSRNOG00000056033	AC111632	protein_coding	0.025961	0.04205966666666666	0.17039011572009066	0.2428107655577536	0.9096094975684673	1.0	1.0	False	True	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056037	AABR07034636	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056039	AABR07048128	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056042	AABR07039799	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056043	AABR07065684	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056045	AC130064	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056047	AABR07065602	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056048	AABR07016628	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056049	AABR07065532	snoRNA	0.0001	0.18691666666666665	0.9074085985023128	0.0	0.6531972647421809	1.0	1.0	False	False	True	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056051	AABR07070816	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056052	AABR07060980	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056053	AABR07032821	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056056	U6	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056059	AABR07060352	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056060	AC094647	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056061	AABR07004090	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056062	AABR07002893	protein_coding	0.025384000000000004	0.0001	-0.2712466462470271	0.0	-0.6531972647421802	1.0	1.0	False	False	False	down	ENSMUSG00000050855	Zfp940	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000056063	AC127963	processed_pseudogene	0.12357433333333333	0.09524566666666667	-0.26783356870715647	0.028481895671035318	-0.322447529287355	1.0	1.0	False	False	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000056064	AABR07004189	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056065	AABR07063640	lincRNA	0.062914	0.019821000000000002	-0.2857900644265925	0.0	-0.33578671583394615	1.0	1.0	False	False	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000056066	AABR07053681	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056067	U6	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056068	AABR07065532	snoRNA	0.087579	0.225788	0.3666969438532037	0.0	0.20581373329464456	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056070	AABR07018476	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056071	AABR07040959	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056074	AABR07044703	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056075	AABR07061390	miRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056078	U6	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00002075570	Gm56093	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000056079	AABR07030568	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056080	Gm24555	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000077736	Gm24555	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000056081	7SK	misc_RNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056082	AC133739	lincRNA	0.014317000000000002	0.0036179999999999997	-0.13169609742597066	-0.11053746500269712	-0.6261433414361396	1.0	1.0	False	True	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000056083	AABR07018119	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056085	AABR07033564	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056086	AABR07017198	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056090	AABR07059900	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056091	Gm22266	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056093	RNaseP_nuc	ribozyme	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056094	AC125873	protein_coding	0.15836966666666666	0.028347	-0.6963472694860462	-0.5827701300059736	-0.5846981048453805	1.0	1.0	False	True	True	down	NA	NA	NA	NA	unmapped
ENSRNOG00000056095	AABR07071898	pseudogene	0.006591	0.18558966666666668	1.2027352146711836	0.7503644909597407	1.4176555036406118	1.0	1.0	False	True	True	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056097	AABR07069942	pseudogene	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056099	7SK	misc_RNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056100	AABR07010118	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056101	U7	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000088563	Gm23779	ortholog_one2one	1	unique_rat_gene_symbol
ENSRNOG00000056102	AABR07072181	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056103	7SK	misc_RNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056105	AABR07035868	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056107	AABR07063508	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056109	U6	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056110	Olr500	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056111	AABR07019143	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056114	AC097312	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056116	U1	snRNA	0.24321866666666667	0.35899333333333333	0.9612953871292478	1.7882956224852657	0.5418148659603127	1.0	1.0	False	True	True	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056117	AABR07015430	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056120	AABR07008390	snoRNA	0.0001	0.061642999999999996	0.5027158222199919	0.0	0.6531972647421806	1.0	1.0	False	False	True	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056121	AABR07058785	lincRNA	0.020543000000000002	0.0001	-0.2298192671516852	0.0	-0.6531972647421809	1.0	1.0	False	False	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000056122	AABR07033697	lincRNA	0.0001	0.07155533333333333	0.5504873558226513	0.0	0.6531972647421813	1.0	1.0	False	False	True	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056123	Gm22778	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000077278	Gm22778	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000056124	U6	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000089078	Gm24502	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000056125	U6	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056126	AC110351	pseudogene	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056127	AABR07009600	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056129	LOC102554659	lincRNA	0.0001	0.010381666666666666	0.12917299958053974	0.0	0.6531972647421816	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056131	AABR07029217	lincRNA	0.017174666666666668	0.0001	-0.198732947696858	0.0	-0.6531972647421799	1.0	1.0	False	False	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000056132	Olr468	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056133	RNaseP_nuc	ribozyme	0.029084000000000002	0.027429	-0.012937155331044448	0.0	-0.020306011315068383	1.0	1.0	False	False	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000056137	AABR07058788	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056138	AABR07043121	scaRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056139	AABR07016621	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056140	AABR07042780	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056141	Matn3	protein_coding	0.072853	0.023788666666666666	-0.5148858341401281	-0.7730183010501595	-1.1299467695622296	1.0	1.0	False	True	True	down	ENSMUSG00000020583	Matn3	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000056142	AABR07042781	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056143	7SK	misc_RNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056144	Olr29	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056145	AABR07029111	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056146	AABR07033925	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056151	AABR07007642	protein_coding	0.18288400000000002	0.2700116666666667	0.4497007345863522	0.37332738113992914	0.6396068495372214	1.0	1.0	False	True	False	up	ENSMUSG00000021708	Rasgrf2	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000056155	7SK	misc_RNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056157	SNORD116	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056158	U6	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056159	Gm22592	snoRNA	0.25812233333333334	0.057322000000000005	-0.727451422163462	-0.14240047934926858	-0.520437074287792	1.0	1.0	False	True	True	down	ENSMUSG00000077430	Gm22592	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000056160	AABR07004765	miRNA	0.120325	0.05073766666666666	-0.6497158558815013	-0.9376812966230439	-1.1134277310185998	1.0	1.0	False	True	True	down	NA	NA	NA	NA	unmapped
ENSRNOG00000056161	AABR07036406	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056163	AABR07036638	pseudogene	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056164	AC135822	snoRNA	0.064888	0.0001	-0.6519314333152564	-0.9263634788374335	-1.3009862638113046	1.0	1.0	False	True	True	down	NA	NA	NA	NA	unmapped
ENSRNOG00000056165	7SK	misc_RNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056166	AABR07060958	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056167	U1	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000064732	Gm23447	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000056168	AABR07029451	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056170	U6	snRNA	0.08373233333333334	0.033004	-0.27335128709019596	0.0	-0.2596428597485621	1.0	1.0	False	False	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000056173	AABR07040285	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056175	Olr1470	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056177	AABR07010085	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056179	AABR07061072	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056180	AABR07032229	miRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056181	AABR07051984	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056182	7SK	misc_RNA	0.0001	0.13183633333333333	1.0468450780578378	1.4910931953509496	1.3014410258067741	1.0	1.0	False	True	True	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056186	Otx2	protein_coding	0.0001	0.009007333333333332	0.11378768648549498	0.0	0.65319726474218	1.0	1.0	False	False	False	up	ENSMUSG00000021848	Otx2	ortholog_one2one	1	unique_rat_gene_symbol
ENSRNOG00000056188	AABR07034833	lincRNA	0.03654	0.11272566666666665	0.5989641483410018	0.5897549868941723	1.0025053822499952	1.0	1.0	False	True	True	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056190	AABR07031689	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056191	AABR07013907	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056192	AABR07024814	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056194	LOC100912405	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056196	U6	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056197	AC126572	pseudogene	0.453349	0.6392726666666667	0.3510760985740251	0.6198638349648726	0.20177083329108228	1.0	1.0	False	True	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056199	AABR07049539	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056201	AABR07071199	lincRNA	0.04162866666666667	0.012272333333333335	-0.2392577389828272	0.0	-0.37514097737252294	1.0	1.0	False	False	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000056203	AABR07003310	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056204	AABR07011841	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056208	Catsper1	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056210	AABR07006752	lincRNA	0.0001	0.013800333333333333	0.1654361105953268	0.0	0.6531972647421791	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056211	U6	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056214	AABR07022098	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056215	AABR07033925	snoRNA	0.04661100000000001	0.06319999999999999	0.09074610856251653	0.0	0.08967912661889432	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056218	AABR07000639	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056219	Olr1	protein_coding	0.010669000000000003	0.045171666666666666	0.3035402428130216	0.13684825960600522	0.5051005800375445	1.0	1.0	False	True	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056220	U2	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056221	AABR07040839	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056222	AABR07021636	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056224	U7	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000088563	Gm23779	ortholog_one2one	1	unique_rat_gene_symbol
ENSRNOG00000056225	AC119356	snoRNA	0.020110000000000003	0.2538673333333333	1.2199494044202133	1.639438041956853	0.9756369604923123	1.0	1.0	False	True	True	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056227	AABR07032119	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056228	Atp10a	protein_coding	0.018859333333333332	0.026680333333333334	0.07397970332796833	0.14588539515467636	0.27024494144004235	1.0	1.0	False	True	False	up	ENSMUSG00000025324	Atp10a	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000056229	7SK	misc_RNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056230	AABR07062664	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056231	U6	snRNA	0.0001	0.097589	0.6571656425920032	0.0	0.653197264742181	1.0	1.0	False	False	True	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056232	U6	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056234	5_8S_rRNA	rRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056239	7SK	misc_RNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056240	AABR07063767	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056241	AC112568	processed_pseudogene	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056244	AABR07052541	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056250	U6	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056251	Ifnl1	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056252	AABR07005801	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056254	AABR07063282	pseudogene	0.09376566666666668	0.021060333333333334	-0.6564452883695893	-1.1816443095956637	-1.0988732163910115	1.0	1.0	False	True	True	down	NA	NA	NA	NA	unmapped
ENSRNOG00000056255	Olr454	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056257	Cacng7	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000069806	Cacng7	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000056261	AABR07036417	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056262	7SK	misc_RNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056269	AC110709	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056271	RGD1564599	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056272	U6	snRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056273	AABR07051692	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056274	AABR07061542	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056276	AABR07007802	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056277	Adam34l	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056280	AABR07068712	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056282	7SK	misc_RNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056283	AABR07036556	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056285	AABR07065693	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056286	AABR07033552	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056288	Y_RNA	misc_RNA	0.0001	0.06456266666666666	0.5172865140425462	0.0	0.653197264742181	1.0	1.0	False	False	True	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056289	AABR07009984	lincRNA	0.0001	0.04363333333333333	0.4015253432823296	0.0	0.6531972647421806	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000056290	AABR07061052	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056291	7SK	misc_RNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056292	AABR07018197	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056293	AABR07027028	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056294	AABR07019383	lincRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056295	AABR07044850	snoRNA	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000056299	AABR07010944	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
